student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade
1,Male,4.0,98.0,6.5,Bachelors,Yes,Yes,No,76.9
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5
4,Male,2.6,77.5,8.0,None,Yes,Yes,No,85.1
5,Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8
6,Female,4.2,78.2,5.7,High School,Yes,No,No,79.8
7,Male,1.5,100.0,5.0,High School,Yes,Yes,Yes,58.6
8,Male,6.2,86.4,6.0,High School,Yes,Yes,No,78.4
9,Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8
10,Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7
11,Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4
12,Male,5.5,75.3,5.6,None,Yes,Yes,No,37.9
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0
14,Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9
15,Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71.0
16,Male,2.6,90.4,7.0,High School,Yes,Yes,No,65.6
17,Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51.0
18,Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2
19,Female,2.8,95.0,8.8,Masters,No,Yes,No,74.7
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0
21,Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8
22,Male,3.3,100.0,7.8,None,Yes,Yes,No,83.9
23,Female,3.7,81.8,7.8,High School,No,No,No,74.8
24,Female,4.3,82.5,5.4,PhD,No,Yes,No,61.0
25,Female,4.6,98.3,7.8,None,Yes,Yes,Yes,66.6
26,Female,1.8,90.6,8.6,High School,Yes,No,No,53.2
27,Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7
28,Female,5.4,100.0,5.7,High School,No,No,No,83.3
29,Female,4.0,78.6,8.0,Bachelors,Yes,No,No,78.2
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4
32,Male,3.7,87.7,7.2,None,Yes,Yes,No,86.2
33,Female,5.3,100.0,7.3,Masters,Yes,Yes,No,67.7
34,Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7
36,Male,6.1,95.7,8.2,None,Yes,Yes,Yes,78.5
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7
38,Male,5.0,76.6,6.7,None,Yes,Yes,No,67.7
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6
40,Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5
41,Male,2.1,100.0,7.5,High School,Yes,Yes,Yes,68.4
42,Male,4.5,74.0,6.7,High School,Yes,No,No,54.1
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7
44,Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7
48,Male,4.6,79.2,6.6,None,Yes,Yes,Yes,57.9
49,Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73.0
50,Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5
51,Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5
52,Female,1.4,100.0,7.8,High School,No,No,No,72.9
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8
54,Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5
55,Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2
58,Male,3.4,72.0,7.6,Bachelors,Yes,No,No,66.9
59,Male,1.5,89.0,6.2,Masters,Yes,No,No,59.4
60,Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2
61,Male,4.0,79.7,7.2,Masters,Yes,Yes,No,67.4
62,Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6
64,Male,1.9,85.2,6.0,None,Yes,No,No,62.5
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9
66,Female,4.9,100.0,5.8,Bachelors,Yes,No,No,85.9
67,Female,2.0,87.4,6.7,High School,Yes,Yes,No,63.9
68,Male,4.3,100.0,5.9,Bachelors,No,Yes,No,62.7
